Mini Piez,Lat (N),Long (W)
1,43.347298,-80.526678
1b,43.347264,-80.526675
2,43.347223,-80.526691
3,43.347227,-80.526638
4,43.347178,-80.526641
5,43.347111,-80.526634
6,43.347117,-80.526588
7,43.347049,-80.526579
8,43.346985,-80.526593
9,43.346993,-80.526536
10,43.346915,-80.526563
11,43.34686,-80.526596
12,43.346853,-80.526533
13,43.346798,-80.526606
14,43.346757,-80.526674
15,43.346736,-80.526617
16,43.34669,-80.526713
16b,43.346683,-80.526701
17,43.346665,-80.526785
18,43.346633,-80.526732
19,43.346605,-80.526821
20,43.346593,-80.526905
21,43.346561,-80.526849
22,43.346526,-80.526943
