Mini Piez,Lat (N),Long (W)
1,43.331721,-80.521247
2,43.331673,-80.521249
3,43.33168,-80.521207
4,43.331634,-80.521215
4b,43.331631,-80.521235
4c,43.331633,-80.521225
5,43.331592,-80.521229
6,43.331603,-80.52117
7,43.331558,-80.521189
8,43.331507,-80.521199
9,43.331516,-80.521143
10,43.331471,-80.521155
10b,43.331472,-80.521143
11,43.331423,-80.521148
11b,43.331428,-80.521154
12,43.331441,-80.521091
12b,43.331445,-80.521098
13,43.331396,-80.521083
13b,43.331391,-80.521095
